Subject,Course ,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Year,Term,Course Subject,Course Number,Course Section,Sched Type,A Range,B Range,C Range,D Range,Course,Section
AAS,,30107,Intro Asian American Studies,12,12,1,0,2,1,0,1,0,0,0,0,1,0,3.68,"Boonsripaisal, Simon",2020,SPRING,,,,DIS,,,,,100,
AAS,,41729,Intro Asian American Studies,5,12,4,1,4,1,2,0,0,0,0,0,1,0,3.51,"Boonsripaisal, Simon",2020,SPRING,,,,DIS,,,,,100,
AAS,,43832,Intro Asian American Studies,0,8,7,3,6,3,2,0,2,0,0,0,0,0,3.28,"Uhall, Michael B",2020,SPRING,,,,DIS,,,,,100,
AAS,,48232,Intro Asian American Studies,8,6,2,0,4,1,1,2,1,0,0,0,0,0,3.44,"Uhall, Michael B",2020,SPRING,,,,DIS,,,,,100,
AAS,,48234,Intro Asian American Studies,5,4,3,1,4,1,1,2,1,1,0,1,1,0,3.0,"Kang, Yoonjung",2020,SPRING,,,,DIS,,,,,100,
AAS,,50105,Intro Asian American Studies,3,6,2,1,5,0,3,2,0,0,0,0,3,0,2.91,"Kang, Yoonjung",2020,SPRING,,,,DIS,,,,,100,
AAS,,54572,Intro Asian American Studies,3,14,0,0,11,1,0,3,0,0,0,0,0,0,3.43,"Park, Doo Jae",2020,SPRING,,,,DIS,,,,,100,
AAS,,51886,Intro Asian American Studies,4,15,0,1,3,0,0,7,0,1,0,0,1,0,3.24,"Park, Doo Jae",2020,SPRING,,,,DIS,,,,,100,
AAS,,70761,Intro Asian American Studies,3,4,9,5,3,1,1,2,3,0,0,0,1,0,3.15,"Thomas, Merin A",2020,SPRING,,,,LCD,,,,,100,
AAS,,70762,Intro Asian American Studies,0,17,3,1,3,2,0,2,1,0,0,0,0,0,3.53,"Lee, Sang S",2020,SPRING,,,,LCD,,,,,100,
AAS,,52317,US Citizenship Comparatively,7,16,2,2,2,0,0,3,0,0,0,0,0,0,3.69,"Compoc, Kimberly M",2020,SPRING,,,,LCD,,,,,215,
AAS,,51119,Muslims in America,3,19,1,1,0,1,0,0,0,0,0,0,0,0,3.91,"Rana, Junaid",2020,SPRING,,,,LCD,,,,,258,
ABE,,57089,ABE Principles: Bioenvironment,1,8,2,7,16,1,1,1,0,0,2,0,1,1,3.09,"Zhang, Yuanhui",2020,SPRING,,,,LCD,,,,,225,
ABE,,57086,ABE Principles: Bioprocessing,2,7,11,6,5,7,1,2,0,0,0,0,0,0,3.33,"Singh, Vijay",2020,SPRING,,,,LCD,,,,,226,
ABE,,39997,Engrg Measurement Systems,5,22,5,6,3,0,0,1,0,0,0,0,0,0,3.75,"Grift, Tony E",2020,SPRING,,,,LCD,,,,,425,
ABE,,70549,Industry-Linked Design Project,4,14,7,4,1,1,0,2,0,0,0,0,0,0,3.66,"Witmer, Ann-Perry",2020,SPRING,,,,LCD,,,,,469,
ACCY,,45418,Fundamentals of Accounting,11,61,54,36,23,45,31,23,13,1,3,0,1,0,3.11,"Silhan, Peter A",2020,SPRING,,,,ONL,,,,,200,
ACCY,,30111,Fundamentals of Accounting,23,11,3,2,2,0,0,0,0,0,0,0,0,0,3.89,,2020,SPRING,,,,ONL,,,,,200,
ACCY,,30112,Accounting and Accountancy I,6,10,5,4,5,3,0,1,0,0,0,0,1,0,3.45,"Sumbada, Jason",2020,SPRING,,,,DIS,,,,,201,
